ime
Astrid Lindgren
J.K. Rowling
Jeffrey Eugenides
Bernhard Schlink
Jodi Picoult
Rick Riordan
Gregory David Roberts
Erik Larson
Francine Rivers
Edith Wharton
Stephenie Meyer
Dan Brown
William Gibson
P.C. Cast
Samuel Beckett
Jane Austen
C.S. Lewis
James Joyce
John Steinbeck
J.R. Ward
Sarah J. Maas
Leo Tolstoy
Rebecca Wells
T.S. Eliot
P.C. Cast
Jonathan Safran Foer
George R.R. Martin
Sarah J. Maas
Virginia Woolf
Stephenie Meyer
Isaac Asimov
John Steinbeck
Maya Angelou
Kiera Cass
Upton Sinclair
Stephen King
David Guterson
Diana Gabaldon
Robert Graves
Sarah J. Maas
David Sedaris
P.C. Cast
E.M. Forster
Charles Dickens
Plato
C.S. Lewis
William Peter Blatty
R.D. Ronald
Neil Gaiman
Hermann Hesse
Rick Yancey
Kyle Keyes
Benjamin Alire Sáenz
Julie Kagawa
Anonymous
Emily Dickinson
Lauren Kate
Richelle Mead
Diana   Forbes
Terry Goodkind
William Makepeace Thackeray
Elizabeth Gaskell
Evelyn Waugh
Richard Dawkins
W. Somerset Maugham
Stephen King
Neal Stephenson
Max Brooks
Libba Bray
Sylvia Day
Anne Rice
H.G. Wells
Kelley Armstrong
Alan Paton
Dalton Trumbo
Joanne Harris
Jeaniene Frost
Greg Mortenson
Cassandra Clare
Simone Elkeles
Victoria Aveyard
Cassandra Clare
Wilkie Collins
Dan Brown
Sarah Dessen
Arthur C. Clarke
Sarah Dessen
Deborah Harkness
Neal Shusterman
Irvine Welsh
P.D. Eastman
John Steinbeck
William Shakespeare
Marcel Proust
Chris Van Allsburg
Tatiana de Rosnay
Sherrilyn Kenyon
D.H. Lawrence
Kiera Cass
Becca Fitzpatrick
Daniel Quinn
J.D. Salinger
Michelle Hodkin
Jennifer Niven
Jon Krakauer
J.R.R. Tolkien
Thomas Hardy
R.D. Ronald
Pittacus Lore
Susan Ee
C.S. Lewis
Charlaine Harris
Paullina Simons
Max Lucado
Garth Nix
Abraham   Verghese
Laura Ingalls Wilder
Martin Heidegger
Jane Austen
Shannon Hale
Dodie Smith
Randy Pausch
Tennessee Williams
Tahereh Mafi
William Shakespeare
Alexandra Bracken
Chuck Palahniuk
Melissa Marr
Michael Cunningham
Diana Gabaldon
Cecelia Ahern
Ken Follett
P.C. Cast
Sarah J. Maas
Charles Dickens
William Shakespeare
Peter S. Beagle
Colleen Hoover
Laura Ingalls Wilder
Dan Simmons
Cormac McCarthy
Barbara Kingsolver
Maggie Stiefvater
Lemony Snicket
Edmond Rostand
Orson Scott Card
Ellen Raskin
Jhumpa Lahiri
Rick Riordan
E. Lockhart
Donna Tartt
Robert Penn Warren
William Shakespeare
J.R. Ward
Diamante Lavendar
