naslov,ocena
The Voyage of the Dawn Treader, 4.09 
City of Bones, 4.10 
The Outsiders, 4.10 
The Unbearable Lightness of Being, 4.10 
Beautiful Disaster, 4.10 
The Handmaid&#39;s Tale, 4.11 
Angela&#39;s Ashes, 4.11 
The Notebook, 4.11 
Tuesdays with Morrie, 4.11 
American Gods, 4.11 
The Mists of Avalon, 4.11 
A Child Called &quot;It&quot;, 4.11 
The Waste Land, 4.11 
Of Human Bondage, 4.11 
The Witching Hour, 4.11 
Memoirs of a Geisha, 4.12 
Vampire Academy, 4.12 
The Name of the Rose, 4.12 
City of Fallen Angels, 4.12 
Leaves of Grass, 4.12 
The Hound of the Baskervilles, 4.12 
The Remains of the Day, 4.12 
War and Peace, 4.12 
Wizard&#39;s First Rule, 4.12 
The Truth About Forever, 4.12 
Swann&#39;s Way, 4.12 
Silence, 4.12 
Dead to the World, 4.12 
The Goose Girl, 4.12 
No Country for Old Men, 4.12 
Jane Eyre, 4.13 
The Secret Garden, 4.13 
The Giver, 4.13 
The Selection, 4.13 
Blindness, 4.13 
The Things They Carried, 4.13 
The Cider House Rules, 4.13 
Kafka on the Shore, 4.13 
The Graveyard Book, 4.13 
Steppenwolf, 4.13 
The Subtle Knife, 4.13 
Pippi Longstocking, 4.13 
Nineteen Minutes, 4.13 
The Elephant Tree, 4.13 
Demian: Die Geschichte von Emil Sinclairs Jugend, 4.13 
North and South, 4.13 
Angelfall, 4.13 
The Girl with the Dragon Tattoo, 4.14 
Charlie and the Chocolate Factory, 4.14 
Flowers for Algernon, 4.14 
Marley and Me: Life and Love With the World&#39;s Worst Dog, 4.14 
Cinder, 4.14 
The Martian Chronicles, 4.14 
A Feast for Crows, 4.14 
Persuasion, 4.14 
The Boy in the Striped Pajamas, 4.15 
The Diary of a Young Girl, 4.15 
Number the Stars, 4.15 
The Last Song, 4.15 
2001: A Space Odyssey, 4.15 
All the Bright Places, 4.15 
Sabriel, 4.15 
The Last Unicorn, 4.15 
Interpreter of Maladies, 4.15 
Cat&#39;s Cradle, 4.16 
The Wind-Up Bird Chronicle, 4.16 
Halfway to the Grave, 4.16 
Sarah&#39;s Key, 4.16 
The Zombie Room, 4.16 
Charlotte&#39;s Web, 4.17 
The Cat in the Hat, 4.17 
The Neverending Story, 4.17 
Murder on the Orient Express, 4.17 
The Guernsey Literary and Potato Peel Pie Society, 4.17 
Misery, 4.17 
Neverwhere, 4.17 
Foundation, 4.17 
Legend, 4.17 
The Witches, 4.17 
The Tell-Tale Heart and Other Writings, 4.17 
The Eye of the World, 4.17 
"Blood Meridian, or the Evening Redness in the West", 4.17 
Unwind, 4.17 
Les Misérables, 4.18 
The Red Tent, 4.18 
A Walk to Remember, 4.18 
The Importance of Being Earnest, 4.18 
The Idiot, 4.18 
Sophie&#39;s Choice, 4.18 
The Amazing Adventures of Kavalier &amp; Clay, 4.18 
The Exorcist, 4.18 
Bared to You, 4.18 
Johnny Got His Gun, 4.18 
Nine Stories, 4.18 
Into Thin Air: A Personal Account of the Mount Everest Disaster, 4.18 
The Darkest Minds, 4.18 
Little House in the Big Woods, 4.18 
Divergent, 4.19 
One Flew Over the Cuckoo&#39;s Nest, 4.19 
1984, 4.19 
Fight Club, 4.19 
I Know This Much Is True, 4.19 
Dark Lover, 4.19 
Obsidian, 4.19 
Are You My Mother?, 4.19 
Little House on the Prairie, 4.19 
The Perks of Being a Wallflower, 4.20 
The Phantom Tollbooth, 4.20 
A Little Princess, 4.20 
Throne of Glass, 4.20 
The Silence of the Lambs, 4.20 
A Short History of Nearly Everything, 4.20 
"I, Robot", 4.20 
The One, 4.20 
Bloodlines, 4.20 
The Fault in Our Stars, 4.21 
The Art of Racing in the Rain, 4.21 
Houdini Heart, 4.21 
The Hitchhiker&#39;s Guide to the Galaxy, 4.22 
Crime and Punishment, 4.22 
Where the Wild Things Are, 4.22 
The Color Purple, 4.22 
"The Lion, the Witch and the Wardrobe", 4.22 
The Prophet, 4.22 
The Screwtape Letters, 4.22 
The Girl Who Kicked the Hornet&#39;s Nest, 4.22 
The BFG, 4.22 
A Court of Thorns and Roses, 4.22 
Dune, 4.23 
Outlander, 4.23 
Rebecca, 4.23 
A Prayer for Owen Meany, 4.23 
The Shining, 4.23 
The Thorn Birds, 4.23 
"I, Claudius", 4.23 
The Complete Poems of Emily Dickinson, 4.23 
Hyperion, 4.23 
It, 4.24 
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch", 4.24 
The Sea of Monsters, 4.24 
The Girl Who Played with Fire, 4.24 
The House of the Spirits, 4.24 
"Lamb: The Gospel According to Biff, Christ&#39;s Childhood Pal", 4.24 
The Prince of Tides, 4.24 
I Know Why the Caged Bird Sings, 4.24 
The Count of Monte Cristo, 4.25 
His Dark Materials, 4.25 
V for Vendetta, 4.25 
Shantaram, 4.25 
Pride and Prejudice, 4.26 
The Chronicles of Narnia, 4.26 
Anne of Green Gables, 4.26 
The Princess Bride, 4.26 
The Lightning Thief, 4.26 
And Then There Were None, 4.26 
Howl&#39;s Moving Castle, 4.26 
Ready Player One, 4.26 
Me Before You, 4.26 
The Last Lecture, 4.26 
Slammed, 4.26 
A Tree Grows in Brooklyn, 4.27 
The Shadow of the Wind, 4.27 
"The Hobbit, or There and Back Again", 4.27 
Frostbite, 4.27 
City of Lost Souls, 4.27 
World Without End, 4.27 
To Kill a Mockingbird, 4.28 
Goodnight Moon, 4.28 
Fried Green Tomatoes at the Whistle Stop Cafe, 4.28 
Tao Te Ching, 4.28 
Infinite Jest, 4.28 
The Master and Margarita, 4.29 
The Velveteen Rabbit, 4.29 
Catching Fire, 4.29 
Hopeless, 4.29 
Cutting for Stone, 4.29 
Gone with the Wind, 4.30 
Ender&#39;s Game, 4.30 
Green Eggs and Ham, 4.30 
The Kite Runner, 4.30 
The Adventures of Sherlock Holmes, 4.30 
The Very Hungry Caterpillar, 4.30 
The Polar Express, 4.30 
The Bronze Horseman, 4.30 
The Little Prince, 4.31 
11/22/63, 4.31 
City of Glass, 4.31 
The Pillars of the Earth, 4.32 
Matilda, 4.32 
The Brothers Karamazov, 4.32 
Clockwork Angel, 4.32 
Blood Promise, 4.32 
All Creatures Great and Small, 4.32 
Dragonfly in Amber, 4.32 
A Dance with Dragons, 4.32 
The Hunger Games, 4.33 
The Lost Hero, 4.33 
The Power of One, 4.33 
All the Light We Cannot See, 4.33 
Aristotle and Dante Discover the Secrets of the Universe, 4.33 
Drums of Autumn, 4.33 
"Finding Hope in the Darkness of Grief: Spiritual Insights Expressed Through Art, Poetry and Prose", 4.33 
The Stand, 4.34 
Winnie-the-Pooh, 4.34 
The Little House Collection, 4.34 
The Lorax, 4.34 
Schindler&#39;s List, 4.34 
A Light in the Attic, 4.34 
Different Seasons, 4.34 
Mistress Suffragette, 4.34 
Lover Eternal, 4.34 
Shadow Kiss, 4.35 
The Titan&#39;s Curse, 4.35 
"Oh, the Places You&#39;ll Go!", 4.35 
Spirit Bound, 4.35 
القرآن الكريم, 4.35 
A Fine Balance, 4.35 
Quantum Roots II: Worm Holes, 4.35 
The Fellowship of the Ring, 4.36 
The Godfather, 4.36 
Watchmen, 4.36 
How the Grinch Stole Christmas!, 4.36 
The Ultimate Hitchhiker&#39;s Guide to the Galaxy, 4.36 
Man&#39;s Search for Meaning, 4.36 
Love You Forever, 4.36 
"Unbroken: A World War II Story of Survival, Resilience and Redemption", 4.36 
The Book Thief, 4.37 
The Giving Tree, 4.37 
Voyager, 4.37 
A Thousand Splendid Suns, 4.38 
The Complete Stories and Poems, 4.38 
East of Eden, 4.38 
The Battle of the Labyrinth, 4.39 
Shōgun, 4.39 
Last Sacrifice, 4.39 
The Martian, 4.40 
Ignite Me, 4.40 
A Clash of Kings, 4.41 
The Hiding Place: The Triumphant True Story of Corrie Ten Boom, 4.42 
Crown of Midnight, 4.42 
Harry Potter and the Chamber of Secrets, 4.43 
Roots: The Saga of an American Family, 4.43 
Flow Down Like Silver: Hypatia of Alexandria, 4.43 
The Son of Neptune, 4.43 
Six of Crows, 4.43 
The Compleat Works of Wllm Shkspr, 4.44 
Clockwork Prince, 4.44 
The Monster at the End of this Book, 4.44 
Wonder, 4.44 
City of Heavenly Fire, 4.44 
Lover Awakened, 4.44 
A Game of Thrones, 4.45 
The Green Mile, 4.45 
The Mark of Athena, 4.45 
The Final Empire, 4.45 
You Are Special, 4.45 
The Help, 4.47 
Harry Potter and the Sorcerer&#39;s Stone, 4.47 
Lonesome Dove, 4.48 
The Hunger Games Trilogy Boxset, 4.48 
The Complete Sherlock Holmes, 4.48 
Heir of Fire, 4.48 
Redeeming Love, 4.49 
Harry Potter and the Order of the Phoenix, 4.50 
The Complete Works, 4.50 
The Lord of the Rings, 4.50 
The Last Olympian, 4.51 
انتحار فاشل, 4.51 
العصبي, 4.52 
The Name of the Wind, 4.53 
The Return of the King, 4.53 
A Storm of Swords, 4.54 
The House of Hades, 4.54 
The Complete Maus, 4.55 
Queen of Shadows, 4.55 
Harry Potter and the Goblet of Fire, 4.56 
The Wise Man&#39;s Fear, 4.56 
The Complete Novels, 4.56 
The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass, 4.56 
Harry Potter and the Prisoner of Azkaban, 4.57 
Harry Potter and the Half-Blood Prince, 4.57 
Clockwork Princess, 4.57 
Acheron, 4.57 
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings, 4.60 
Harry Potter and the Deathly Hallows, 4.62 
A Court of Mist and Fury, 4.62 
The Way of Kings, 4.63 
Harry Potter Series Box Set, 4.73 
The Complete Calvin and Hobbes, 4.82 
